Australian Bureau of Statistics

"2021 Census - counting dwellings, place of enumeration"
"MB (EN) by 1-digit level HCFMD Family Household Composition (Dwelling)"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

"1-digit level HCFMD Family Household Composition (Dwelling)","One family household","Multiple family household","Other household","Not applicable","Total",
"MB (EN)",
"50188160000",26,0,5,12,45,
"50188170000",23,0,10,3,36,
"50188180000",0,0,0,0,0,
"50188190000",38,0,7,14,54,
"50188200000",26,0,11,15,42,
"50188210000",23,0,5,11,37,
"50377930000",0,0,0,0,0,
"50377940000",0,0,0,0,0,
"50377950000",0,0,0,0,0,
"50188230000",33,0,7,11,45,
"50188250000",42,0,10,6,57,
"50188260000",10,0,0,3,17,
"50188280000",45,0,4,9,58,
"50392003200",12,0,15,30,58,
"50392011300",19,0,4,10,31,
"50188240000",7,0,9,3,25,
"50188290000",9,0,27,0,35,
"50188300000",18,3,3,5,32,
"50188310000",14,0,3,12,26,
"50188320000",30,0,14,13,57,
"50188330000",18,0,11,12,35,
"50188340000",0,0,0,0,0,
"50188351000",0,0,0,0,0,
"50188352000",10,0,20,6,36,
"50377960000",0,0,0,0,0,
"50377970000",0,0,0,0,0,
"50188652000",18,0,6,9,33,
"50188661000",12,0,8,12,26,
"50188662000",23,0,3,0,28,
"50188671000",35,0,7,6,42,
"50188672000",19,0,3,0,21,
"50188680000",30,4,8,4,43,
"50188690000",18,0,9,8,31,
"50188701000",21,0,0,3,22,
"50195531000",17,0,3,4,28,
"50391625700",14,0,0,5,25,
"50391657000",24,0,12,3,39,
"50186730000",27,0,3,24,49,
"50188600000",0,0,0,0,0,
"50188610000",13,0,8,22,40,
"50188720000",0,0,0,0,0,
"50188730000",15,0,8,15,37,
"50188760000",0,0,0,12,17,
"50188790000",16,0,6,18,41,
"50188801000",0,0,0,0,0,
"50188802000",4,0,6,8,17,
"50188803000",46,0,15,7,62,
"50188804000",37,0,7,3,47,
"50188740000",23,3,8,5,37,
"50188750000",15,0,6,10,29,
"50188770000",34,5,11,30,70,
"50188780000",12,0,3,22,41,
"50377770000",0,0,0,0,0,
"50391654900",0,0,0,0,0,
"50391663100",25,0,7,6,40,
"50188841000",50,3,5,9,67,
"50188843000",0,0,0,0,0,
"50188850000",35,0,7,10,48,
"50186740000",0,0,0,0,0,
"50188822000",4,0,4,9,27,
"50188831000",19,0,4,11,29,
