Australian Bureau of Statistics

"2021 Census - counting dwellings, place of enumeration"
"SA1 (EN) by IRSAD Deciles at SA1 Level (Area)"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

"IRSAD Deciles at SA1 Level (Area)","Decile 1","Decile 2","Decile 3","Decile 4","Decile 5","Decile 6","Decile 7","Decile 8","Decile 9","Decile 10","Total",
"SA1 (EN)",
"50201102101",0,0,0,221,0,0,0,0,0,0,221,
"50201102102",0,0,0,271,0,0,0,0,0,0,271,
"50201102103",0,0,249,0,0,0,0,0,0,0,249,
"50201102104",0,0,0,339,0,0,0,0,0,0,339,
"50201102105",0,0,315,0,0,0,0,0,0,0,315,
"50201102106",0,0,0,220,0,0,0,0,0,0,220,
"50201102107",0,0,0,0,0,0,116,0,0,0,116,
"50201102108",0,0,196,0,0,0,0,0,0,0,196,
"50201102109",0,0,0,0,0,408,0,0,0,0,408,
"50201102110",0,0,0,0,0,0,0,0,0,0,0,
"50201102111",0,0,0,164,0,0,0,0,0,0,164,
"50201102112",0,0,0,270,0,0,0,0,0,0,270,
"50201102113",0,0,373,0,0,0,0,0,0,0,373,
"50201102114",0,0,0,0,109,0,0,0,0,0,109,
"50201102115",0,411,0,0,0,0,0,0,0,0,411,
"50201102116",0,0,284,0,0,0,0,0,0,0,284,
"50201102117",0,0,0,167,0,0,0,0,0,0,167,
"50201102201",0,0,183,0,0,0,0,0,0,0,183,
"50201102202",0,146,0,0,0,0,0,0,0,0,146,
"50201102203",0,0,0,0,194,0,0,0,0,0,194,
"50201102204",0,0,0,449,0,0,0,0,0,0,449,
"50201102205",0,0,0,0,0,525,0,0,0,0,525,
"50201102206",0,0,0,167,0,0,0,0,0,0,167,
"50201102207",0,247,0,0,0,0,0,0,0,0,247,
"50201102208",0,0,0,0,169,0,0,0,0,0,169,
"50201102209",0,0,0,296,0,0,0,0,0,0,296,
"50201102210",0,0,459,0,0,0,0,0,0,0,459,
"50201102211",0,0,0,275,0,0,0,0,0,0,275,
"50201102212",0,0,0,323,0,0,0,0,0,0,323,
"50201102213",0,298,0,0,0,0,0,0,0,0,298,
"50201102214",0,0,0,0,418,0,0,0,0,0,418,
"50201102215",0,0,0,196,0,0,0,0,0,0,196,
"50201102216",0,0,184,0,0,0,0,0,0,0,184,
"50201102217",0,200,0,0,0,0,0,0,0,0,200,
"50201102218",299,0,0,0,0,0,0,0,0,0,299,
"50201102219",0,0,0,0,0,237,0,0,0,0,237,
"50201102220",0,0,0,212,0,0,0,0,0,0,212,
"50201102301",255,0,0,0,0,0,0,0,0,0,255,
"50201102302",0,0,0,0,0,63,0,0,0,0,63,
"50201102303",0,0,0,0,0,0,106,0,0,0,106,
"50201102304",0,318,0,0,0,0,0,0,0,0,318,
"50201102306",284,0,0,0,0,0,0,0,0,0,284,
"50201102307",0,178,0,0,0,0,0,0,0,0,178,
"50201102308",247,0,0,0,0,0,0,0,0,0,247,
"50201102309",0,0,0,0,0,0,194,0,0,0,194,
"50201102310",0,0,0,0,148,0,0,0,0,0,148,
"50201102311",243,0,0,0,0,0,0,0,0,0,243,
"50201102312",0,122,0,0,0,0,0,0,0,0,122,
"50201102314",187,0,0,0,0,0,0,0,0,0,187,
"50201102315",151,0,0,0,0,0,0,0,0,0,151,
"50201102316",0,268,0,0,0,0,0,0,0,0,268,
"50201102317",183,0,0,0,0,0,0,0,0,0,183,
"50201102318",237,0,0,0,0,0,0,0,0,0,237,
"50201102319",241,0,0,0,0,0,0,0,0,0,241,
"50201102320",228,0,0,0,0,0,0,0,0,0,228,
"50201102321",0,0,0,0,0,0,0,0,0,0,0,
"50201102322",0,0,0,0,0,0,0,0,0,0,0,
"50201102323",149,0,0,0,0,0,0,0,0,0,149,
"50201102324",0,124,0,0,0,0,0,0,0,0,124,
"50201102325",0,199,0,0,0,0,0,0,0,0,199,
"50201102326",165,0,0,0,0,0,0,0,0,0,165,
"50201102401",0,0,0,0,0,0,0,399,0,0,399,
"50201102402",0,0,0,0,0,0,0,280,0,0,280,
"50201102403",0,0,0,173,0,0,0,0,0,0,173,
"50201102404",0,0,0,208,0,0,0,0,0,0,208,
"50201102405",0,0,0,0,199,0,0,0,0,0,199,
"50201102406",0,0,0,0,266,0,0,0,0,0,266,
"50201102407",0,0,0,0,221,0,0,0,0,0,221,
"50201102408",0,520,0,0,0,0,0,0,0,0,520,
"50201102409",296,0,0,0,0,0,0,0,0,0,296,
"50201102410",0,0,0,0,172,0,0,0,0,0,172,
"50201102411",0,0,0,194,0,0,0,0,0,0,194,
"50201102412",0,0,0,124,0,0,0,0,0,0,124,
"50201102413",0,0,172,0,0,0,0,0,0,0,172,
"50201102414",0,0,169,0,0,0,0,0,0,0,169,
"50201102415",0,0,0,0,197,0,0,0,0,0,197,
"50201102416",0,0,0,0,0,377,0,0,0,0,377,
"50201102417",0,0,214,0,0,0,0,0,0,0,214,
"50201102418",0,0,0,0,0,0,0,0,0,0,0,
"50201102419",0,154,0,0,0,0,0,0,0,0,154,
"50201102420",267,0,0,0,0,0,0,0,0,0,267,
"50201102421",0,0,0,0,0,0,176,0,0,0,176,
"50201102422",0,181,0,0,0,0,0,0,0,0,181,
"50201102423",0,0,0,208,0,0,0,0,0,0,208,
"50201102424",0,0,0,0,126,0,0,0,0,0,126,
"50201102425",0,201,0,0,0,0,0,0,0,0,201,
"50201102426",0,190,0,0,0,0,0,0,0,0,190,
"50201102427",0,0,0,0,0,601,0,0,0,0,601,
"50201102428",0,0,0,179,0,0,0,0,0,0,179,
"50201102429",0,0,0,776,0,0,0,0,0,0,776,
"50201102430",0,0,387,0,0,0,0,0,0,0,387,
"50201102431",0,0,0,126,0,0,0,0,0,0,126,
"50201102432",0,0,237,0,0,0,0,0,0,0,237,
"50201102433",0,0,0,0,0,393,0,0,0,0,393,
"50201102434",0,0,0,129,0,0,0,0,0,0,129,
"50201102436",0,0,0,0,0,144,0,0,0,0,144,
"50201102437",0,0,220,0,0,0,0,0,0,0,220,
