Australian Bureau of Statistics

"2021 Census - counting dwellings, place of enumeration"
"SA1 (EN) by 1-digit level HCFMD Family Household Composition (Dwelling)"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

"1-digit level HCFMD Family Household Composition (Dwelling)","One family household","Multiple family household","Other household","Not applicable","Total",
"SA1 (EN)",
"50201102101",135,4,34,47,221,
"50201102102",157,3,39,69,271,
"50201102103",110,3,86,46,249,
"50201102104",227,9,53,59,339,
"50201102105",165,0,49,98,315,
"50201102106",110,4,36,72,220,
"50201102107",81,6,10,25,116,
"50201102108",105,5,54,44,196,
"50201102109",255,4,52,95,408,
"50201102110",0,0,0,0,0,
"50201102111",125,5,23,14,164,
"50201102112",155,0,66,41,270,
"50201102113",271,6,62,45,373,
"50201102114",71,3,25,12,109,
"50201102115",153,3,121,131,411,
"50201102116",202,6,47,26,284,
"50201102117",59,0,27,75,167,
"50201102201",97,0,61,21,183,
"50201102202",92,9,29,19,146,
"50201102203",82,4,44,67,194,
"50201102204",303,9,75,56,449,
"50201102205",219,5,74,231,525,
"50201102206",114,0,36,15,167,
"50201102207",112,0,68,65,247,
"50201102208",71,0,39,62,169,
"50201102209",108,0,69,119,296,
"50201102210",143,0,132,180,459,
"50201102211",199,6,41,31,275,
"50201102212",127,0,63,135,323,
"50201102213",153,8,78,61,298,
"50201102214",199,0,83,132,418,
"50201102215",98,4,44,52,196,
"50201102216",108,0,42,34,184,
"50201102217",88,3,47,58,200,
"50201102218",133,0,123,42,299,
"50201102219",172,4,40,30,237,
"50201102220",89,5,47,69,212,
"50201102301",135,13,96,17,255,
"50201102302",41,0,14,6,63,
"50201102303",84,4,9,3,106,
"50201102304",150,0,125,37,318,
"50201102306",134,3,120,27,284,
"50201102307",91,3,63,21,178,
"50201102308",133,6,84,25,247,
"50201102309",153,4,27,8,194,
"50201102310",116,3,18,8,148,
"50201102311",131,0,80,28,243,
"50201102312",69,0,42,10,122,
"50201102314",98,4,71,17,187,
"50201102315",90,0,52,9,151,
"50201102316",124,0,109,40,268,
"50201102317",114,5,59,10,183,
"50201102318",127,6,88,5,237,
"50201102319",136,0,85,19,241,
"50201102320",123,0,93,18,228,
"50201102321",0,0,5,0,5,
"50201102322",122,0,171,49,338,
"50201102323",73,3,55,16,149,
"50201102324",72,0,30,21,124,
"50201102325",136,3,44,13,199,
"50201102326",88,0,69,4,165,
"50201102401",161,0,56,183,399,
"50201102402",117,3,50,113,280,
"50201102403",113,0,28,32,173,
"50201102404",96,0,57,55,208,
"50201102405",98,3,33,68,199,
"50201102406",153,5,65,40,266,
"50201102407",131,5,59,24,221,
"50201102408",267,6,207,46,520,
"50201102409",125,0,138,32,296,
"50201102410",135,7,23,13,172,
"50201102411",116,5,46,25,194,
"50201102412",78,5,30,11,124,
"50201102413",105,0,47,26,172,
"50201102414",117,0,37,15,169,
"50201102415",125,0,39,28,197,
"50201102416",275,4,54,40,377,
"50201102417",165,8,38,16,214,
"50201102418",0,0,0,0,0,
"50201102419",91,5,35,20,154,
"50201102420",82,0,141,39,267,
"50201102421",145,0,25,16,176,
"50201102422",106,3,46,23,181,
"50201102423",139,0,49,19,208,
"50201102424",92,0,14,16,126,
"50201102425",124,0,63,20,201,
"50201102426",105,4,68,12,190,
"50201102427",448,9,85,52,601,
"50201102428",115,0,42,18,179,
"50201102429",481,7,196,91,776,
"50201102430",142,0,111,134,387,
"50201102431",80,3,38,5,126,
"50201102432",161,0,56,23,237,
"50201102433",197,4,64,129,393,
"50201102434",76,0,27,23,129,
"50201102436",101,3,20,19,144,
"50201102437",146,0,46,29,220,
"50201102438",88,0,187,16,289,
"50201102439",121,0,25,15,164,
"50201102440",181,0,32,23,239,
"50201102441",0,0,0,0,0,
"50201102501",98,0,173,128,398,
"50201102503",73,3,135,36,241,
"50201102504",90,0,214,84,398,
"50201102505",157,4,60,62,282,
"50201102506",114,5,37,47,202,
"50201102507",130,7,72,107,315,
"50201102508",85,0,126,62,280,
"50201102509",76,0,95,31,199,
"50201102510",93,0,170,46,303,
"50201102511",130,0,136,50,317,
"50201102512",94,0,138,39,272,
"50201102513",83,3,145,52,278,
"50201102514",105,4,100,35,240,
"50201102515",108,0,118,33,256,
"50201102516",127,3,150,59,343,
"50201102517",89,0,115,39,243,
"50201102518",118,0,108,20,247,
"50201102519",104,3,59,15,183,
"50201102520",157,0,160,45,358,
"50201102522",26,0,31,0,50,
"50201102523",213,0,147,287,647,
"50201102524",0,0,0,0,0,
"50201102525",0,0,0,0,0,
"50201102526",127,0,182,170,477,
"50201102601",52,0,19,4,83,
"50201102602",98,3,41,6,150,
"50201102603",159,0,66,84,316,
"50201102604",144,3,67,106,315,
"50201102605",135,0,80,65,279,
"50201102606",109,0,45,45,201,
"50201102607",95,0,29,32,157,
"50201102608",81,0,51,31,164,
"50201102609",109,0,28,8,148,
"50201102611",75,0,60,45,178,
"50201102612",57,0,83,11,151,
"50201102613",149,6,165,33,349,
"50201102614",117,0,43,57,223,
"50201102615",43,9,20,10,77,
"50201102616",54,3,11,7,79,
"50201102618",0,0,0,0,0,
"50201102619",209,3,55,25,292,
"50201102620",90,0,24,12,120,
"50201102705",117,0,76,15,202,
"50201102706",102,0,19,12,125,
"50201102707",93,6,43,21,159,
"50201102708",147,7,31,26,206,
"50201102709",140,4,66,50,259,
"50201102710",100,6,23,10,139,
"50201102712",72,0,14,11,105,
"50201102713",108,0,146,59,313,
"50201102716",219,3,29,17,262,
"50201102717",116,3,50,72,238,
"50201102720",53,0,54,24,132,
"50201102721",171,0,39,35,248,
"50201102722",105,4,38,11,159,
"50201102723",148,3,61,13,223,
"50201102724",149,3,40,9,198,
"50201102725",129,7,18,5,162,
"50201102726",29,0,52,5,89,
"50201102727",138,3,37,14,186,
"50201102728",270,6,36,20,333,
"50201102729",142,3,35,9,188,
"50201102730",162,5,32,11,215,
"50201102731",138,9,24,6,174,
"50201102732",128,3,18,9,158,
"50201102733",119,3,20,11,154,
"50201102734",77,0,24,7,113,
"50201102735",183,9,48,29,266,
"50201102736",75,4,47,4,130,
"50201102737",147,0,25,10,189,
"50201102738",133,3,32,7,172,
"50201102739",104,6,37,11,155,
"50201102740",167,4,54,15,239,
"50201102741",0,0,0,0,0,
"50201102743",100,0,17,4,118,
"50201102744",115,5,41,12,174,
"50201102746",251,6,38,12,321,
"50201102747",0,0,0,0,0,
"50201102748",87,0,30,3,122,
"50201102749",164,0,76,26,269,
"50201102750",150,3,34,8,199,
"50201102751",166,5,43,15,241,
"50201102752",182,5,35,20,243,
"50201102753",128,4,29,11,175,
"50201102754",67,0,22,30,122,
"50201102755",109,5,33,43,182,
"50201102756",158,0,54,20,238,
"50201102801",101,0,49,29,176,
"50201102802",58,0,67,15,144,
"50201102804",134,8,71,27,239,
"50201102805",123,5,49,16,189,
"50201102807",59,0,28,6,92,
"50201102808",119,0,62,24,201,
"50201102809",150,0,56,11,218,
"50201102811",163,3,60,94,318,
"50201102812",236,0,75,58,369,
"50201102813",165,4,106,43,322,
"50201102814",112,3,48,28,184,
"50201102815",150,0,152,44,344,
"50201102816",123,3,98,76,301,
"50201102817",78,0,199,52,320,
"50201102818",107,0,43,16,169,
"50201102819",133,0,75,30,234,
"50201102820",80,7,72,22,178,
"50201102821",118,3,130,44,295,
"50201102822",78,0,27,9,128,
"50201102823",0,0,0,0,0,
"50201102824",54,0,153,15,227,
"50201102825",154,6,46,16,221,
"50201102826",83,4,33,8,134,
"50201102827",0,0,0,0,0,
"50201102828",91,0,31,3,127,
"50201102829",82,0,74,17,174,
"50201102830",222,0,43,98,363,
"50201102901",97,0,102,16,210,
"50201102904",54,7,15,6,77,
"50201102905",52,4,17,12,79,
"50201102907",70,3,21,3,98,
